SMILES CID
C(CCN)CC(C(=O)O)NC(=O)C(CCC(=O)O)N 7015704
C(CCN)CC(C(=O)O)NC(=O)CCC(C(=O)O)N 65254
C1CC(N(C1)C(=O)C(CCCN=C(N)N)N)C(=O)O 151003
CCC(C)C(C(=O)NC(C(C)C)C(=O)O)N 435949
CCC(C)C(C(=O)O)NC(=O)C(C(C)C)N 7010532
CC(C)CC(C(=O)O)NC(=O)C(C(C)C)N 6993118
CC(C)CC(C(=O)NC(C(C)C)C(=O)O)N 352038
CCC(C)C(C(=O)NC(CCSC)C(=O)O)N 17863274
CC(C)CC(C(=O)NC(CCSC)C(=O)O)N 118276
CCCCCCCCCCC=O 8186
CCCCCCCCCC(=O)C 8163
CCCCCCCCCCC(=O)O 8180
CCCCCCOC(=O)CCCC 70694
CCCCCCC(=O)OC(C)(C)C 545258
CC(C)C(C(=O)O)NC(=O)C(CCCCN)N 6992341
CC(C)C(C(=O)NC(CCCCN)C(=O)O)N 168058
CC(C)C(C(=O)O)NC(=O)C(CCCN=C(N)N)N 6992654
CC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)N 444523
CSCCC(C(=O)O)NC(=O)C(CCCN=C(N)N)N 7019989
CCCCCCCCCCC 14257
CCCCCCCCCC(C)O 15448
C1=CC=C2C(=C1)C3=C(N2)C=NC=C3 64961
CC1=NC=CC2=C1NC3=CC=CC=C23 5281404
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl 3440
C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N 5546
CC(=O)NC(CC(=O)C1=CC=CC=C1N)C(=O)O 54201144
CCOC(=O)C1=CC=CC=C1C(=O)OCC 6781
CN(C)CCC1=CNC2=C1C=C(C=C2)O 10257
CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N 5488196
CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N 96814
CC(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N 4078684
CC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N 92946
C1=CC=C(C=C1)CC(C(=O)NC(CO)C(=O)O)N 193508
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CO)N 7009598
CCCCC(=O)CC1=CC=CC=C1 33191
C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO 14274616
C1(C(C(OC(C1O)OC2C(C(C(OC2C(=O)O)O)O)O)C(=O)O)O)O 4532283
C1CN(C1C(=O)O)CCC(C(=O)O)NCCC(C(=O)O)O 4641377
CCC(C)C(C(=O)O)NC(=O)C(CC1=CN=CN1)N 9900065
CC(C)CC(C(=O)O)NC(=O)C(CC1=CN=CN1)N 189008
CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)O)N)CO)O)O 123826
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O 7427
CCCCCCC=CCCCC(=O)O 5312378
CC(=CC(C)(C)C)CC(C)(C)C 5365103
CCCCCCCCCC1CC1 522556
CCCCCCCCC(=CC)C 5366147
CCC(C)C(C(=O)NC(C(C)CC)C(=O)O)N 13879965
CCC(C)C(C(=O)O)NC(=O)C(CC(C)C)N 435718
CCC(C)C(C(=O)NC(CC(C)C)C(=O)O)N 13817313
CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)N 76807
CCCCCCCCCCCC=O 8194
CCCCCCCCCCC(=O)C 22556
CCCCCCCCCC(=O)OCC 8048
CCCCCCCCOC(=O)CCC 61030
CCC(C)C(C(=O)O)NC(=O)C(CCCCN)N 7010499
CC(C)CC(C(=O)O)NC(=O)C(CCCCN)N 7016103
CCC(C)C(C(=O)O)NC(=O)C(CCCN=C(N)N)N 7009553
CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)N 9900561
CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)O)N 3800205
CC(C)CC(C(=O)O)NC(=O)C(CCCN=C(N)N)N 6992563
CCCCCCCCCCCC 8182
CCCCCCCCCCCCO 8193
C(COCCOCCOCCOCCOCCO)O 17472
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2 3102
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NCC(=O)O)N 263471
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)CN 102763
C1=CC=C(C=C1)CC(=O)NC(CCC(=O)O)C(=O)O 11579826
C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)O)C(=O)O)N 6992643
CC(C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N)O 10445608
CC(C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N)O 7010580
C(CCCCCC(=O)O)CCCCCC(=O)O 10458
CCCCCCCCCCCC=C 17095
CCCCCCCCCCCCC=O 25311
CCCCCCCCCCCC(=O)C 11622
CCCCCCCCCCCCC(=O)O 12530
CCCCCCCCCCCCC 12388
CCC(C)CC(C)CCCC(C)C 545608
CCCCCCCCCCCCCO 8207
C1=CC=C2C(=C1)C(=CN2)CC(=O)NC(CC(=O)O)C(=O)O 4656408
CC(C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)N 263475
C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)N)C(=O)O 7020642
C1CC(NC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O 6351946
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CCC(C(=O)O)N 111299
C1=CC=C(C=C1)CC(C(=O)NC(CCC(=O)O)C(=O)O)N 151134
C1C(CN(C1C(=O)O)C(=O)C(CC2=CC=C(C=C2)O)N)O 63842847
C1=CC(=CC=C1CC(C(=O)O)NC(=O)C(CCC(=O)O)N)O 515717
C1=CC(=CC=C1CC(C(=O)NC(CCC(=O)O)C(=O)O)N)O 19816750
CC(C)(C)COC(=O)C1=CC=CC=C1C(=O)OC 6424504
C1=CC(=CC=C1CC(C(=O)NC(CCC(=O)N)C(=O)O)N)O 19421321
CCCCC(=O)NC(CC1=CC=CC=C1)C(=O)O 13890535
CC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N 7359122
CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N 6993120
CSCCC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N 100048
CSCCC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N 7010506
CC(C)C(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N 14767562
CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N 7009555
CC(C)(C)C1=CC=C(C=C1)C(C)(C)C 13895
CC(C)(C)C1=CC(=CC=C1)C(C)(C)C 136810
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O 8814
CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C 7311
CCCCCCCC(=O)OC1CCCCC1 229794
CCCCCCCCCCCC(=O)CC(=O)O 454064
C1CCCCCCCCCCCCC1 67524
CCCCCCCCCCCCCC=O 31291
CC(C)CCCCCCCCCCC(=O)O 520298
CCCCCCCCCCCC(=O)OCC 7800
CCCCCCCCCCCCC(C(=O)O)O 1563
CCCCCCCCCCCC(CC(=O)O)O 5312869
CCCCCCCCCCCCCC 12389
CCCCCCCCCCCCCCO 8209
C(COCCOCCOCCOCCOCCOCCO)O 79718
C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2)O)O)O)O 441701
C1=CC=C2C(=C1)C(=CN2)CC(=O)NC(CCC(=O)N)C(=O)O 25200879
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C(CC(=O)O)N 9948926
C1=CC=C(C(=C1)C(=O)NCC(=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)O 121596205
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC2=CN=CN2)N 152198
CC1=CCC(C2=C1C=CC(=C2)C)C(C)C 528708
CC(C)CC1C(=O)NC(C(=O)N1)CC2=CC=CC=C2 7076347
CC(C(C(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)NC(=O)N)O 92021849
CC1=CC=C(C=C1)C(C)CCC=C(C)C 92139
CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N 7010566
CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N 435728
CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N 14282475
CCC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)O)N 342468
